Skills,Count
machine learning,460.0
data science,396.0
python programming,395.0
data analysis,319.0
data visualization (dataviz),242.0
sql,212.0
pandas,208.0
numpy,204.0
r programming,179.0
statistics,164.0
regression analysis,160.0
data cleansing,157.0
github,151.0
rstudio,108.0
statistical hypothesis testing,106.0
data virtualization,106.0
regular expression (regex),103.0
data manipulation,103.0
debugging,102.0
model selection,102.0
ipython,101.0
matplotlib,100.0
relational database management system (rdbms),100.0
cluster analysis,99.0
cloud databases,99.0
deep learning,96.0
linear regression,67.0
business intelligence,60.0
statistical analysis,58.0
random forest,57.0
scikit-learn,56.0
exploratory data analysis,55.0
database (dbms),54.0
predictive modelling,54.0
machine learning (ml) algorithms,52.0
apache spark,52.0
computer programming,52.0
jupyter notebook,52.0
data structure,51.0
text mining,51.0
python syntax and semantics,51.0
generalized linear model,51.0
json,50.0
statistical inference,50.0
long short-term memory (istm),50.0
web scraping,50.0
tuple,50.0
internet of things (iot),49.0
natural language toolkit (nltk),49.0
probability and statistics,49.0
sqlite,49.0
basic programming language,49.0
xml,49.0
tensorflow,34.0
artificial intelligence (ai),27.0
keras,16.0
analytics,13.0
natural language processing,13.0
computer vision,11.0
convolutional neural network,10.0
artificial neural network,10.0
big data,10.0
microsoft excel,8.0
predictive analytics,7.0
business analytics,7.0
information engineering,6.0
ethics of artificial intelligence,6.0
decision tree,6.0
tableau software,6.0
recommender systems,6.0
marketing,6.0
mathematical optimization,6.0
data management,5.0
data mining,5.0
cloud computing,5.0
inductive transfer,4.0
business analysis,4.0
reinforcement learning,4.0
python libraries,4.0
feature engineering,4.0
algorithms,4.0
function approximation,3.0
relational database,3.0
jobs,3.0
application programming interfaces (api),3.0
bigquery,3.0
data warehousing,3.0
object-oriented programming (oop),3.0
data clustering algorithms,3.0
hyperparameter optimization,3.0
time series,3.0
bayesian statistics,3.0
spreadsheet,3.0
intelligent systems,3.0
forecasting,3.0
linear algebra,3.0
machine-learning,3.0
dimensionality reduction,3.0
privacy,3.0
business strategy,3.0
google cloud platform,3.0
hash table,2.0
financial analysis,2.0
pivot table,2.0
graph theory,2.0
network security,2.0
cybersecurity,2.0
spatial analysis,2.0
watson,2.0
causal inference,2.0
bayesian inference,2.0
google analytics,2.0
summary statistics,2.0
data collection,2.0
regression,2.0
analysis of variance (anova),2.0
clustering,2.0
general linear model,2.0
basic descriptive statistics,2.0
streamlit,2.0
digital marketing,2.0
average,2.0
combination,2.0
data quality,2.0
sentiment analysis,2.0
opencv,2.0
geographic information system (gis),2.0
h2o,2.0
logistic regression,2.0
spark,2.0
sagemaker,2.0
plotly,2.0
azure,2.0
topic model,2.0
supervised learning,2.0
power bi,2.0
spark sql,2.0
business-analytics,2.0
databricks,2.0
cloud storage,2.0
probability,2.0
discrete mathematics,2.0
matlab,2.0
seaborn,2.0
decision-making,2.0
basic python syntax,1.0
generative adversarial networks,1.0
mapreduce,1.0
r-programming-language,1.0
health informatics,1.0
data-science,1.0
tokenization,1.0
rnns,1.0
image-to-image translation,1.0
controllable generation,1.0
communication,1.0
wgans,1.0
conditional generation,1.0
components of gans,1.0
dcgans,1.0
customer analytics,1.0
simulation,1.0
storyboarding,1.0
map,1.0
visual analytics,1.0
build input data pipeline,1.0
image segmentation,1.0
apache hadoop,1.0
general statistics,1.0
leadership and management,1.0
risk assessment,1.0
collaborative filtering,1.0
environmental data analysis,1.0
web traffic,1.0
object detection,1.0
computer science,1.0
data model,1.0
nosql,1.0
database (db) design,1.0
document warehouse,1.0
super column,1.0
mathematical induction,1.0
proof theory,1.0
mathematical logic,1.0
distributed computing,1.0
graphs,1.0
data visualization software,1.0
probabilistic models,1.0
information privacy,1.0
compliance,1.0
risk management,1.0
model tuning,1.0
time-to-event modeling,1.0
image processing,1.0
machine learning interpretation,1.0
ethics,1.0
survey design,1.0
database management systems,1.0
postgresql,1.0
classification,1.0
stock analysis,1.0
modelling,1.0
big data products,1.0
k-means clustering,1.0
computational biology,1.0
chi-squared (chi-2) distribution,1.0
pycaret,1.0
empirical evidence,1.0
powerbi,1.0
extraction,1.0
transformation and loading (etl),1.0
data pre-processing,1.0
data factory,1.0
validity (statistics),1.0
programing,1.0
servicios cognitivos,1.0
parsing,1.0
model interpretability,1.0
cross-sectional analysis,1.0
motion chart,1.0
statistical model,1.0
"""eulers totient function""",1.0
geophysical data,1.0
data generating process,1.0
option pricing and risk management,1.0
simple model for market dynamics,1.0
q-learning using financial problems,1.0
optimal trading,1.0
portfolio optimization,1.0
term frequency inverse document frequency (tf-idf),1.0
machine learning strategy and leadership,1.0
grouped data,1.0
marketing analytics,1.0
uncertainty analysis,1.0
inference,1.0
data modeling,1.0
artificial intelligence(ai),1.0
markov chain monte carlo (mcmc),1.0
mysql,1.0
language industry,1.0
information seeking behavior,1.0
collective intelligence,1.0
social media mining,1.0
backtesting,1.0
data documentation,1.0
treatment effect estimation,1.0
bayesian linear regression,1.0
programming tool,1.0
hyperparameter,1.0
problem solving,1.0
multi-task learning,1.0
pyspark,1.0
fundamental programming concepts,1.0
user interface,1.0
microstrategy,1.0
data warehouse,1.0
lookup table,1.0
backpropagation,1.0
interaction (statistics),1.0
sql injection,1.0
cryptography,1.0
basic python data structures,1.0
database vulnerabilities,1.0
javascript,1.0
programming principles,1.0
log–log plot,1.0
watson (computer),1.0
ggplot2,1.0
functional programming,1.0
model optimization,0.0
semantic segmentation,0.0
