,title,code,desciption,university
0,Fundamentals of Enumerative Combinatorics,co601,"Elementary counting, bijections. Sets, weights, decompositions.  The ordinary generating series, sum, product, composition and differentiation lemmas; formal use in combinatorial identities.  The algebra of formal power series.  Strings on a finite alphabet.  Unique factorization of strings.  Pattern and noncommutative methods.  The Maximal Decomposition Theorem.  Rational and algebraic generating series, linear recurrence equations.  Integer partitions.  Functional equation.   Ferrers graph, geometric decompositions, Euler's Pentagonal Number Theorem.  Vector spaces over GF(q), linear transformations, finite forms of partition theorems, Gaussian coefficients.  Inversions in permutations.  The exponential generating series, rule of sum and product, composition and differentiation lemmas.  Disjoint cycles and permutations, functions, set partitions, graphs.  Lagrange's Implicit Function Theorem.  Lattice paths, Wiener-Hopf Factorization.  Lattice polygons, polyominos, trees and functions.  Formal use in combinatorial identities.  Enumeration under group action, Orbit-Stabilizer Theorem, Burnside's Lemma, Polya's Theorem.  Necklaces, abstract trees and trees embedded in the plane.",waterloo
1,Fundamentals of Optimization,co602,"Linear optimization: Farkas' Lemma, duality, Simplex method, geometry of polyhedra. Combinatorial optimization: integrality of polyhedra, total unimodularity, flow problems, weighted bipartite matching. Continuous optimization: convex sets, Separation Theorem, convex functions, analytic characterizations of convexity, Karush-Kuhn-Tucker Theorem.",waterloo
2,Algebraic Enumeration,co630,"The algebra of formal Laurent series.  Multivariate ordinary generating functions and exponential generating functions. The Lagrange Implicit Function Theorem, the MacMahon Master Theorem.  Enumeration of planar triangulations. The Transfer Matrix method.  Sieve methods, Inclusion/Exclusion, Möbius inversion.  Pólya Enumeration, Enumeration of Trees.  Basic hypergeometric series, q-analogues, Rogers-Ramanujan identities.  Asymptotic methods.",waterloo
3,Symmetric Functions,co631,"The ring of symmetric functions, standard bases, the Hall inner project.  Young tableaux.  The Robinson-Schensted-Knuth correspondence, the hood-length formula, the Jacobi-Trudi formula, the Pieri rule, the Littlewood-Richardson rule.  Representation theory of the symmetric groups.  Enumeration of plane partitions.  Enumeration of maps on surfaces.  Other topics.",waterloo
4,Combinatorial Designs,co634,"Pairwise orthogonal latin squares. Transversal designs and finite planes. Balanced incomplete block designs, group divisible designs and pairwise balanced designs. Symmetric designs and Hadamard matrices. Recursive constructions. Wilson's fundamental construction.",waterloo
5,Topics in Combinatorics,co639,,waterloo
6,Topics in Graph Theory,co640,,waterloo
7,Graph Theory,co642,"Colouring: Brooks' Theorem and Vizing's Theorem. Flows: integer and group-valued flows, the flow polynomial, the 6-flow theorem. Extremal graph theory; Ramsey's theorem, Turan's theorem, Mader's theorem on graphs with no n-clique-minor. Probabilistic methods: Lower bounds for Ramsey numbers, graphs with large girth and chromatic number.",waterloo
8,Algebraic Graph Theory,co644,Automorphisms. Cayley graphs and their properties. Arc and distance transitive graphs. Generalised polygons. homomorphisms and covers. Adjacency and incidence matrices. Eigenvectors of graphs. Quotients. Interlacing. Strongly regular graphs. Line graphs and graphs with least eigenvalue -2. Expanders. Shannon capacity.,waterloo
9,Matroid Theory,co646,"This is an introductory course on matroid theory, with particular emphasis on graphic matroids and on topics that are applicable to graph theory.  The topics include: matroid intersection and partition, graphic matroids, matroid connectivity, regular matroids, and representable matroids.  Applications include: matching, disjoint spanning trees, the 8-flow theorem for graphs, planarity testing, and recognizing totally unimodular matrices.",waterloo
10,Combinatorial Optimization,co650,"Characterizations of optimalsolutions and efficient algorithms for optimization problems over discrete structures. Topics include network flows, optimal matchings, T-joins and postman tours, matroid optimization.",waterloo
11,Integer Programming,co652,Formulation of problems as integer linear programs. Solution by branch-and-bound and cutting plane algorithms. Introduction to the theory of valid inequalities and polyhedral combinatorics.,waterloo
12,Convex Optimization and  Analysis,co663,"An introduction to the modern theory of convex programming, its extensions and applications. Structure of convex sets, separation and support, subgradient calculus for convex functions, Fenchel conjugacy and duality, Lagrange multipliers. Ellipsoid method for convex optimization.",waterloo
13,Quadratic Programming,co664,"A course on theory and solution algorithms for the minimization of a convex quadratic function subject to linear constraints. Karush-Kuhn-Tucker conditions, duality theory. Active set solution algorithms and their parametric extensions. Quadratic programmes as linear complementarity problems. Applications in portfolio optimization and structural analysis.",waterloo
14,Continuous Optimization,co666,"Numerical algorithms for nonlinear optimization. Newton, variable-metric, quasi-Newton and conjugate gradient methods. Obtaining derivatives. Convexity. Trust region methods. Constrained optimization including optimality conditions, sequential quadratic programming, interior point and active set strategies.",waterloo
15,Semidefinite Optimization,co671,"Optimization over convex sets described as the intersections of the set of symmetric, positive semidefinite matrices with affine spaces.  Formulations of problems from combinatorial optimization, graph theory, number theory, probability and statistics, engineering design and control theory.  Theoretical and practical consequences of these formulations.  Duality theory and algorithms.",waterloo
16,Optimization for Data Science,co673,"Techniques for formulating data science models as optimization problems. Algorithms for solving data science problems with an emphasis on scalability, efficiency and parallelizability including gradient-descent based algorithms, derivative-free algorithms, and randomized algorithms. Theoretical analyses of algorithms and approaches for recognizing the most suitable algorithm for solving a particular problem.",waterloo
