,employer,link,location,position_title,salary,excel,python,r,java,c,c++,matlab,sas,sql,tableau,hadoop,spark,power bi,tensorflow,keras,pytorch,theano,caffe,communication,problem solving,project management,consulting,presentation,leadership,documentation,marketing,lead,time management,collaborate,organize
0,SAPSOL TECHNOLOIGES INC,https://job-openings.monster.ca/freshers-in-artificial-intelligence-machine-learning-robotics-internet-of-things-mississauga-on-ca-sapsol-technoloiges-inc/221926854,"Mississauga, ON","Freshers in Artificial Intelligence, Machine learning, Robotics, Internet of Things.",,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Magna International Inc.,https://job-openings.monster.ca/robotics-weld-technician-milton-on-ca-magna-international-inc/221831711,"Milton, ON",Robotics Weld Technician,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,Kutir Technologies,https://job-openings.monster.ca/machine-learning-computer-vision-mississauga-on-ca-kutir-technologies/221548084,"Mississauga, ON",Machine Learning (Computer Vision),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ADGA Group,https://job-openings.monster.ca/cognos-etl-programmer-developer-toronto-on-ca-adga-group/221798449,"Toronto, ON",Cognos/ETL Programmer/Developer,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"Modis, Inc.",https://job-openings.monster.ca/data-architect-modeller-toronto-on-ca-modis-inc/221286414,"Toronto, ON",Data Architect/Modeller,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,IBM CA,https://job-openings.monster.ca/data-modeller-sql-developer-toronto-on-ca-ibm-ca/221690209,"Toronto, ON",Data Modeller /SQL Developer,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ISG Search Inc,https://job-openings.monster.ca/senior-manager-data-analytics-retail-mining-toronto-on-ca-isg-search-inc/221961770,"Toronto, ON","Senior Manager, Data Analytics (Retail/Mining)",,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Procom,https://job-openings.monster.ca/data-architect-edmonton-ab-ca-procom/221883085,"Edmonton, AB",Data Architect,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8,Hays,https://job-openings.monster.ca/lead-machine-learning-engineer-vancouver-bc-ca-hays/221837346,"Vancouver, BC",Lead Machine Learning Engineer,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,Randstad,https://job-openings.monster.ca/cloud-data-architect-toronto-on-ca-randstad/221411574,"Toronto, ON",Cloud Data Architect,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Epsilon Solution Ltd,https://job-openings.monster.ca/azure-data-architect-toronto-on-ca-epsilon-solution-ltd/222042401,"Toronto, ON",Azure Data Architect,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,T.E.S. Employment Solution,https://job-openings.monster.ca/data-architect-expert-x4-toronto-on-ca-t-e-s-employment-solution/221887140,"TORONTO, ON",DATA ARCHITECT (EXPERT) (x4),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Eagle Professional Resources,https://job-openings.monster.ca/crm-data-architect-–-senior-ottawa-on-ca-eagle-professional-resources/221865365,"Ottawa, ON",CRM Data Architect – Senior,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,HCL Technologies Limited,https://job-openings.monster.ca/azure-data-architect-vancouver-bc-ca-hcl-technologies-limited/221726535,"Vancouver, BC",Azure Data Architect,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Collabera Canada Inc.,https://job-openings.monster.ca/design-quality-assessment-engineer-robotics-mississauga-on-ca-collabera-canada-inc/221206458,"Mississauga, ON",Design Quality Assessment Engineer - Robotics,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,Step By Step Professional Services Inc,https://job-openings.monster.ca/data-scientist-fraud-detection-systems-toronto-on-ca-step-by-step-professional-services-inc/221248864,"Toronto, ON",Data Scientist (Fraud Detection Systems),,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Intellex Systems Group,https://job-openings.monster.ca/bi-specialist-edmonton-ab-ca-intellex-systems-group/221930381,"Edmonton, AB",BI Specialist,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,Eagle Professional Resources Inc,https://job-openings.monster.ca/cognos-etl-programmer-developer-toronto-gta-on-ca-eagle-professional-resources-inc/221832761,"Toronto/GTA, ON",Cognos/ETL Programmer/Developer,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
18,SAPSOL TECHNOLOIGES INC,https://job-openings.monster.ca/looking-for-freshers-in-artificial-intelligence-machine-learning-robotics-internet-of-things-mississauga-on-ca-sapsol-technoloiges-inc/221633472,"Mississauga, ON","Looking for freshers in Artificial Intelligence, Machine learning, Robotics, Internet of Things.",,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
