,employer,link,location,position_title,salary,excel,python,r,java,c,c++,matlab,sas,sql,tableau,hadoop,spark,power bi,tensorflow,keras,pytorch,theano,caffe,communication,problem solving,project management,consulting,presentation,leadership,documentation,marketing,lead,time management,collaborate,organize
0,050 Best Buy Canada Ltd.,https://job-openings.monster.ca/cloud-data-engineer-ca-050-best-buy-canada-ltd/221927539,,Cloud Data Engineer,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,EU Health and Innovations Inc,https://job-openings.monster.ca/systems-consultant-data-analyst-thornhill-on-ca-eu-health-innovations-inc/221737818,"Thornhill, ON",Systems Consultant & Data Analyst,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,Luxoft USA Inc,https://job-openings.monster.ca/aws-data-lake-migration-specialist-calgary-ab-ca-luxoft-usa-inc/221693000,"Calgary, AB",AWS Data Lake Migration Specialist,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,Geomodeling,https://job-openings.monster.ca/data-scientist-noc-2172-calgary-ab-ca-geomodeling/219706051,"Calgary, AB",DATA SCIENTIST NOC 2172,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,VTRAC Consulting Corporation,https://job-openings.monster.ca/senior-data-engineer-azure-python-kafka-contract-toronto-on-ca-vtrac-consulting-corporation/222045337,"TORONTO, ON","Senior Data Engineer - Azure, Python, Kafka (Contract)",,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Morgan Stanley,https://job-openings.monster.ca/bi-data-analyst-3155721-montreal-qc-ca-morgan-stanley/222012028,"Montreal, QC",BI/Data Analyst 3155721,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
6,Robertson & Company Ltd.,https://job-openings.monster.ca/enterprise-full-stack-engineer-–-big-data-perm-toronto-on-ca-robertson-company-ltd/221295753,"TORONTO, ON",Enterprise Full Stack Engineer – Big Data (perm),,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Prodigy Bank,https://job-openings.monster.ca/data-scientist-toronto-on-ca-prodigy-bank/221751235,"Toronto, ON",Data Scientist,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,Juventus Consulting,https://job-openings.monster.ca/data-analyst-markham-on-ca-juventus-consulting/221580192,"Markham, ON",Data Analyst,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ADGA Group,https://job-openings.monster.ca/azure-data-consultant-st-catharines-on-ca-adga-group/221291108,"St. Catharines, ON",Azure Data Consultant,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
