,location,company,job_title,salary,job_description,job_url
0,"Greater Toronto Area, ON",fgf brands,Data Scientist Co-op ( 4 or 8 Month Winter Placement),NA,"Job Description:

We’re a naan traditional company…

What is the recipe for a great career at FGF?

Working at FGF Brands, there is never a dull moment! As a successful company that is continually growing there is always challenging yet rewarding work to be a part of. We have an entrepreneurial mindset which encourages all our team members to use their own creativity and out of the box thinking to come up with solutions and new ideas.

Let’s be frank. FGF is not for everybody. Our culture is unique. We dive headfirst into the unknown. If you’re fun-loving, talented and fearless, we’re for you.

What FGF Offers:
Disruptive and a naan-traditional mindset
An inclusive and dynamic culture
Commitment to learning and development
Opportunity to be impactful

Data Scientist Co-op:
Reporting to the Director business process and automation, the Team Member will have 3 key areas of responsibility: Content management, Data collection and Data analysis.

Candidates will receive basic Six Sigma training and knowledge transfer from the onsite Lean Six Sigma Master Black belt.
Working closely with Business Process team to complete our resource library and technical information into action-focused documentation for the sales team
Analyze data to identify potential patterns and correlations
Help with data collection from various automated and manual process steps
Design KPI and Dashboard to meet business requirements
Provide training documents and SOP for business process steps
Facilitate data entry into computer systems.
Test new data collection systems.
Ensuring consistent language, style and formatting of documentation
Communicate any updated changes to appropriate team members
Participating in special projects as required
Map and define source and target system fields for Data Migration objects
Collect, organize, and cleanse SAP master data including materials, vendors, and customers
Closely work with IT and data migration team to prepare data mapping, execute the data migration process, and validate cleansed data
Communicate conversion issues to the internal team members.

Required Ingredients:
Statistical background or Six Sigma Green Belt an asset
Strong, analytical, mathematics and engineering background an asset
Track record of researching and writing effective documentation in a business environment
Experience with basic computer skills in a Microsoft-based environment
Proficiency with Microsoft Word and Excel. Knowledge of Sharepoint.
Knowledge of Minitab program (statistical application) as asset
Understanding and comfort with technical/digital communication channels
Exceptional verbal and writing, editing and proofreading skills, and attention to detail – particularly with respect to document formatting

FGF DNA

We’re foodies and our passion is baked in…

Customer and Product Centricity – You are always keeping our products front and center.
Flexibility, Agility, Adaptability – You embrace speed, change and uncertainty.
Team Work and Collaboration – You are a relationship builder.
Passion for Excellence – You look for innovative solutions and challenges the status quo.
Drives Execution – You are a risk taker!",https://ca.indeed.com/rc/clk?jk=7bf34b733f500965&fccid=ba8f17420d6035be&vjs=3
1,"North York, ON",Poros Career,Data Analyst,NA,"Job Requirement:Having an degree in Mathematics, Commerce, Statistics, Data Science, or related fieldsStrong data analytical skills - be able to query, clean, and analyze large datasetsAbility to lead and execute cross-functional projectsExperience in SQL and databaseStrong understanding of statisticsExperience with data visualization tools is preferred (Tableau, etc…)Good knowledge of MS Office, advanced Excel skills and other communication toolsAbility to explore, learn, and deploy innovative approaches and tools to support change, communications activitiesResponsibility:Researching, designing, and developing dashboards and web applications using data and predictionsParticipate in projects by analyzing approaches, processes, and tools to support the business data strategyUse SQL to interact with data infrastructureUse data mining, model building, and other analytical techniques to develop new datasets and data driven solutionsProcess clients testing documents and data and check the quality of automated document processing steps manuallyUse python to perform data visualizationCollaborate closely with other team members, ensuring that all work meets established quality standardsJob Types: Full-time, PermanentSalary: $48,000.00-$55,000.00 per yearAdditional pay:Commission paySchedule:8 hour shiftExperience:data : 1 year (Preferred)Work remotely:Yes, temporarily due to COVID-19",https://ca.indeed.com/company/Poros-Career/jobs/Data-Analyst-62eca01c8bb6e402?fccid=b725cade44ec5181&vjs=3
2,"Toronto, ON",Indigo Park,Data Scientist,NA,"Indigo Park is an industry leader and the most respected brand in parking and individual mobility, providing cutting-edge technology and innovation every step of the way. Our success comes from providing tailor-made, innovative solutions, first class customer service experience, continual evolution and an advanced vision of parking facilities. Active in 11 countries and with more than 2,000 employees in Canada, we are present in airports, hospitals, hotels, clinics, school boards and more! Indigo believes that its strength lies primarily with its employees and is committed to sharing its success and promoting team spirit with them.Job Description This role is an integral part of the Business Intelligence Airport Team. The role is responsible for delivering advanced analytical models (including predictive) and dashboards for various data sets across airports within Canada Indigo Parking services. You will build and implement detailed dashboards, in-depth analysis and business models using advanced statistical and predictive modelling tools.Why Join Indigo?· Growth in a dynamic and supportive team· Sites easily accessible by public transit· Employee Referral BonusesWhat Would You Be Doing?Design, build, implement, automate and improve advanced analytics models (including predictive) and various operational and pricing models across multiple sectors for Indigo Canada that clearly communicate results, elucidate patterns, generate actionable insights and facilitate decision making.Develop and maintain analytical dashboards driven from insight learnt from the modelled outputsResponsible for data preparation, manipulation and the maintenance of the data flow into dashboards and data modelsApply advanced analytic techniques such as machine learning, data mining and statistical modelling to design and implement mathematical models and algorithms into real-world Parking scenarios, and document process and resultsPrepare projections of revenue and bookings based on numerous variables and data assumptions, in collaboration with management and clientsWork on modelling occupancy, demand, seasonality along with other inputs with the view to optimising the right price, at the right time for the right customersExplore and examine data from multiple disparate sourcesTranslate complex analytical results into usable business initiativesProcessing, cleansing, and verifying the integrity of data used for analysisExpected to carry out other duties as may reasonably be assigned by a ManagerDuties may vary from time to time without changing the general character of the post or level of responsibility entailedWhat Are the Working Conditions?Must be able to sit for long periods of timeWhat Are We Looking For?Education in Data Analytics, Computer Scientist, or similar such as business analytics, mathematics, statistics, operational research, physical or computer science1-2 years of Data Scientist experience (emphasis on working with large amounts of data and building dashboards)Strong practical understanding of the application of analytics to business issues across multiple industries and varying size client engagementsAbility to identify and define complex problems, assess appropriate analytical approaches from options developed logicallyData Modelling and analytical skills, proficient in IBM SPSS, Enterprise Miner, Open Source Languages (R, Python), Excel and comfortable handling and analysing large data setsIBM Cognos TM1 or OLAP tool experienceExperience using Power BiReport Authoring, Data Cleansing, normalisationAbility to meet tight deadlinesPlan and organize complex work stream, manage materials/technology effectively to best deliver value and quality to the clientDemonstrate a collaborative work approach and support their client colleagues to work together to achieve successExcellent presentation, written and verbal communication skillsWhat Will Set You Apart?· Commercially astute· Experience in conducting analysis for evidence based decision making, developing models and decision support tools or building business cases for investment decisions· Excellent inter-personal, organisational and time-management skills, even when under pressure· Enthusiastic, energetic, hardworking, passionate, goal focused, and willing to learnThe composition of Indigo's workforce reflects a wide variety of ages, profiles and roles. We maintain and promote this openness through a policy of equal opportunities and fight against all forms of discrimination in hiring and in work relationships. Applications from various groups are welcomed and encouraged. Every person has a right to equal treatment with respect to employment or discrimination, but it does not include any other person under the Human Rights Code. Accommodations are available on request in the relationship to the materials or processes process.Successful candidates will be required to submit a Criminal Background Check.We thank all applicants for their interest in this position. However, due to the high volume of applicants, we will only be contacting candidates selected for an interview. No agency or applicant phone calls please.During these unprecedented times, Indigo Park is doing everything required to ensure the safety of its candidates and employees.Indigo Park has adjusted its recruitment process to reflect the current climate we live in due to COVID-19. Therefore, we have transitioned to prioritizing virtual interviews.We will continue to take every necessary precaution to ensure the well-being of everyone during our recruitment process.Job Types: Full-time, PermanentSchedule:Monday to FridayCOVID-19 considerations:During these unprecedented times, Indigo Park is doing everything required to ensure the safety of its candidates and employees.Indigo Park has adjusted its recruitment process to reflect the current climate we live in due to COVID-19.Experience:Data Scientist : 2 years (Preferred)Work remotely:Temporarily due to COVID-19",https://ca.indeed.com/company/Indigo-Park/jobs/Data-Scientist-721e6defafaf41b7?fccid=f83a9d9f01608345&vjs=3
3,"Toronto, ON",Sunnyfuture Group,Data Analyst/Financial Analyst,NA,"We are looking for a passionate, creative individual that is able to turn data into information, information into insight and insight into product directions, customer guidance and business decisions.You will conduct full lifecycle activities to include requirements analysis and design, development, and continuously monitor performance and identify improvements. You will interact directly with customers and users of your work.Responsibilities:Managelarge amounts of data; merge data sources; ensure consistency of datasets; must be able to handle datasets of multiple types - textual, categorical and numericalIdentify, analyze, and interpret trends or patterns in complex data sets, create predictive models based on those patternsFilter and “clean” data, and review computer reports, printouts, and performance indicators to locate and correct code problemsPresent and communicate the data insights/findings (preferably actionable insights) to both specialists as well as a non-technical audienceCreatevisualizations to aid in understanding dataQualifications:BS/MS in Mathematics, Engineering, Computer Science, Data Science, Informatics or StatisticsStrong knowledge of statistics and experience using statistical packages for analyzing large datasets (Minitab, SPSS, SAS, Excel, etc)Technical expertise regarding data models, database design development, data mining and segmentation techniquesCustomer interface and communication skillsA passion for empirical research and answering hard questions with dataStrong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracyAdept at queries, report writing and presenting findingsKnowledge of Lean systems and value stream mappingFluent with one or more software development languagesExperience with web development and agile methodologies and processesJob Type: Full-timeSalary: $60,000.00 per yearSchedule:8 hour shiftLanguage:Mandarin (Required)",https://ca.indeed.com/company/SunnyFuture-Career-Ltd./jobs/Data-Analyst-Financial-Analyst-7658dbc64a4d96d9?fccid=d1afcae81392e688&vjs=3
4,"Toronto, ON",TELUS,Data Scientist,NA,"Data Scientist
Today, TELUS business customers enjoy the best deals and communications. Behind the scenes, however, hundreds of different systems are at play determining how customers can enjoy these competitive rates and awesome customer service to keep their business running and profitable . The TELUS Business Solutions team builds solutions for our stakeholders using data from various sources to build algorithms that can predict customer loyalty, churn and stickiness. We love to turn data into stories - stories about money falling through the cracks, success stories about our products and services, but most importantly stories about our customers and how we can enhance their experience. We run like a start-up and we have embraced lean and agile methodologies. We celebrate our failures and see them as opportunities to learn. Our culture fosters collaborative learning and out-of-the-box thinking in a relaxed environment. Come help us to make something awesome!
You're the missing piece of the puzzle
You are analytical and outcome-oriented with a proven ability to translate technical considerations into business implications as well as to synthesize data into actionable insights
You are well-versed with BI/MI, CRM, marketing cloud and other marketing technologies
You have demonstrated the ability to successfully deliver complex projects involving people, process, technology, and change management
You have experience with agile ways of working and a bias for action to break down barriers to get results fast with a test and learn mindset
You have experience working with customer data, building recommendation engines, personalized offer management, lifetime value and propensity modeling
Must-haves
Experience in building machine learning algorithms using SAS/ R or Python / Cloud. Proficiency in machine learning/deep learning frameworks Sklearn, tensorflow, NLP etc
Data Engineering skills(ability to extract data from databases, structured or unstructured sources to prep data for analysis and modeling)
Technical or data-driven educational background (computer science, engineering, statistics, data science) and/or Masters of Business Administration (MBA) degree
3+ of progressive and relevant work experience
Ability to present analysis and outcome in easy to understand terms to the business
Great-to-haves
Prior telecommunications expertise
B2B marketing experience
Experience with the Salesforce tech, i.e., marketing cloud, Pardot, Einstein
Location : Toronto/Vancouver/Montreal
Who is TELUS?
We're a high-performing team of individuals who collectively make TELUS one of the leading telecommunications companies in Canada. Our competitive consumer offerings include wireline, wireless, internet and Optik TV™. We also deliver a compelling range of products and services for small, medium and large businesses; and have carved out a leadership position in the health, energy, finance and public sector markets with innovative industry specific solutions.
Everyone belongs at TELUS. It doesn't matter who you are, what you do or how you do it, at TELUS, your unique contribution and talents will be valued and respected. Because the more diverse perspectives we have the more likely we are to crack the code on what our customers want and our communities need.
Do you share our passion?
At TELUS, you create future friendly® possibilities.
At TELUS, we are committed to diversity and equitable access to employment opportunities based on ability.",https://ca.indeed.com/rc/clk?jk=bbe976417dee58db&fccid=4512634d9e7338a8&vjs=3
5,"Toronto, ON",QuadReal,"Intern, Data Scientist",NA,"About QuadReal
Headquartered in Vancouver, Canada, QuadReal Property Group is a global real estate investment, operating and development company. QuadReal manages the real estate and mortgage programs of British Columbia Investment Management Corporation (BCI), one of Canada’s largest asset managers with a $153.4 billion portfolio.
QuadReal manages a $37.6 billion portfolio spanning 23 Global Cities across 17 countries. The company seeks to deliver strong investment returns while creating sustainable environments that bring value to the people and communities it serves. Now and for generations to come.
QuadReal: Excellence lives here.
www.quadreal.com
More About this Job
At QuadReal, we are committed to investing in the future of students who are seeking a great opportunity to start and accelerate their careers. You have a number of unique accomplishments and experiences, which reflect in what we are looking for in future talent. We are happy to provide opportunities to give you a chance to leverage your skill sets in a supportive atmosphere.
We are actively looking for an Intern, Data Scientist to join our Digital Innovation team reporting directly into the Vice President, Portfolio Technology. The intern will consult on analytical solutions to understand, analyze, and synthesize requirements, goals and objectives relative to data and business intelligence needs. This role will be starting January 2021.
Leads/participates in the design, implementation and management of new analytics & reporting solutions
Supports the development and implementation of innovative analytical solutions
Breaks down and analyses data and information to provide subject matter insights and recommendations
Structures and assembles data into multi-dimensions with various granularities
Integrates information from multiple sources to enable more efficient processes, enhanced analysis and/or streamlined reporting
Works independently on a range of complex tasks
Identify valuable data sources and automate collection processes
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Present information using data visualization techniques
Identifies opportunities to maximize data usage, applying modeling and optimization methods to develop new strategies and improve business performance
Assist in collecting, analyzing and manipulating sets of data
Experience and Qualifications
Education: Big Data, Data Analytics, Computer Science
Computer Skills / Software – Tableau, SQL, SAS, R, Python
Organizational/Multi-Task Skills - Ability to allocate one's time effectively, work under pressure and manage deadlines; ability to handle multiple demands, competing priorities; willing to learn and adapt to changes in a dynamic environment; organized; detail-oriented and a self starter.
Decision Making Skills – Identify and analyze problems for reference to supervisor on non-routine issues. Resolve issues in a timely manner on daily responsibilities.
Relationship Skills – Excellent communication, oral and written; able to develop and sustain cooperative working relationships; able to be flexible and work with all types of personalities; able to exercise confidentiality and places a priority on client service.
QuadReal Property Group will provide reasonable accommodation at any time throughout the hiring process for applicants with disabilities or for those needing job postings in an alternate format. If you require accommodation, please advise the Talent Acquisition team member you are working with and include the following: Job posting #, your name and your preferred method of contact.
Want to learn about our end-to-end recruitment process? Click this link for a short video that will take you through each step, so you’ll know exactly what to expect.",https://ca.indeed.com/rc/clk?jk=eefa70bfa123e2a3&fccid=4c0dd9bbeab79d21&vjs=3
6,"Toronto, ON",Overbond,Data Scientist,NA,"About Us

We’re a leading financial technology company in the institutional debt capital markets - the largest capital market globally and the lifeline of finance world - that is laser focused on transforming how global investment banks, institutional investors, corporations and governments can better execute transactions, price discover and engage with each other. Overbond is building a first-of-its-kind cloud-based platform that makes new bond issuance digital, transparent, and secure. Our team consists of individuals with deep expertise, from both a technical and industry perspective, that are truly motivated by the fact that we are making a significant impact on how global capital markets operate. We value sharp minds, integrity, high performance, collaboration, and purpose. Our mindset is to innovate and challenge convention. At Overbond, we believe that change is the only constant and that problems are opportunities in disguise.

The Opportunity

This exciting new role is available as part of the Overbond product team expansion. The position is a unique opportunity to build creative solutions for complex problems using cutting edge technology. As an expert in data science, you will be in charge of the architecture, integration and analysis of large data sets used for developing machine learning models and generating business insights. We are seeking experienced data scientists who are excited about utilizing latest statistical, machine learning, and predictive analytics techniques to transform unstructured data to creative solutions that will have direct impact on the business of our clients.
What You'll Do
Collect, analyze and visualize colossal datasets using a variety of emerging technologies to help solidify our understanding of users and improve product decision-making
Design, build and maintain an expanding set of robust predictive models and applications to drive forecast accuracy
Lead data science initiatives to recommend actionable business insights using big data analytics and machine learning techniques
Leverage distributed and open-source computing tools for recommendations, classification, regression, and feature extraction, from logistic regression to matrix factorization, to deep learning neural networks
Prepare detailed documentation to specify data sources, models and algorithms used and developed
Collaborate with the engineering team to deploy models and algorithms in production
Effectively communicate data insights in a non-technical manner to key stakeholders and senior management team
What You'll Need
Masters or Post Doctoral degree in relevant disciplines (Mathematics, Computer Science, Statistics, Electrical/Software Engineering or other quantitative related discipline)
4 - 6 years of experience in data mining, machine learning and statistical modeling
Solid knowledge in regression, time series analysis, tree methods, neural network, sampling
Proven track record of building and demonstrating business value from predictive models and data products
Highly proficient in building statistical and algorithmic models with complex and large data sets such as supervised statistical learning, times-series analysis, regression analysis, data visualization and deep learning
Capability to architect highly scalable distributed systems, using different open source tools
Coding experience in SQL or Python or R
An entrepreneurial mindset, likes working in an agile environment, driven to ship frequently
Excellent communication and interpersonal skills
Team-oriented, pragmatic, self-starting
Likes to learn and grow with teammates in a highly collaborative and open environment
Understanding of, or interest in, finance and investments
What We Offer
The challenge and opportunity of joining an exciting startup company
Opportunity to work on a real product with very demanding paying enterprise clients
Lots of opportunity for learning and self-development
Ability to contribute in all stages of product development
Successful candidate(s) will have a truly exciting opportunity to be part of the industry leading financial technology company changing the way how global investment banks, institutional investors, corporations and governments access the capital markets. The candidate will work with top notch industry professionals and will be given ample amount of opportunities to learn and contribute.",https://ca.indeed.com/rc/clk?jk=c7a711b99c7f92d5&fccid=571991c776701fba&vjs=3
7,"Toronto, ON",Equifax,Data Scientist - Client Success,NA,"Would you like to work in a fully Agile environment? Your main objective as a Data Scientist at Equifax will be to work directly with customers to support their use of key analytical products, utilising your technical and analytical background.
Who is Equifax?
Equifax is a global data, analytics, and technology company. We believe knowledge drives progress. We blend unique data, analytics and technology with a passion for serving customers globally, to create insights to power the decisions that move people forward. We serve as a consumer advocate, steward of financial literacy, and champion of economic advancement.
As an innovative global company that enables access to credit, we’re part of breakthrough collaborations and innovations that address complex social challenges such as social welfare, community relations and financial education for underprivileged youth. We establish relationships that create economically healthy communities. We help individuals gain financial independence by increasing access to capital for small businesses. And we provide young adults entering college or university with financial education tools.
Regardless of location or role, the individual and collective work of our people makes a difference in our business. We are Powering the World with Knowledge and looking for talented team players to join us as we help people live their financial best.
The Perks of being an Equifax Employee?
We offer excellent compensation packages with high-reaching market salaries, 401k matching, along with the works: comprehensive healthcare packages, schedule flexibility, collaborative work spaces, work from home opportunities, paid time off, and organizational growth potential
Grow at your own pace through online courses at Learning @ Equifax
What You’ll Do
You will utilise tools, including Python, R, SQL and SAS to extract data and assist others users to improve the performance of queries.
By working closely with customers, you will understand the objectives of their projects and be able to interpret the business need into a sound analysis plan that considers all relevant data.
Utilising your teamwork skills, you will collaborate with the Data Management team to load new data into the environment as needed and work closely with the IT system administrators to ensure data quality remains strong.
Effectively communicate analytical results to key partners using strong data visualizations, strong presentation skills and business language to emphasize the so what of the analysis.
You’ll act as the primary contact for Equifax customers using Ignite solutions (Equifax product) to answer technical inquiries or provide guidance on the use of Equifax data within specific analytical methodologies.
You will continually mine the data assets to identify emerging trends and proactively inform key partners within the assigned customers to drive and influence strategy.
By demonstrating your experience with data visualization tools, you will improve productivity while ensuring results are consistent across the organization.
Use advanced techniques or partner with statisticians to build out predictive models that address new opportunities for a customer based on a deep understanding of their business need
Qualifications
Proven hands-on experience designing and building analytical solutions to solve real world problems, with limited direct supervision required
3+ years’ data manipulation experience with deep knowledge of R, Python, SAS or SQL in a large data environment
Strong knowledge of Hadoop Tools such as Hive or Impala
Demonstrable experience in a client-facing role with direct contact and client management responsibilities for specific deliverables
3+ years using advanced analytical techniques including decision trees, logistical regression, and, preferably, machine learning methodologies
Experience or strong knowledge of a key industry including Retail Lending, Credit Cards, Mortgages, Auto Lending, Government or Telco
Experience with data visualization tools (Spotfire, Tableau, Qlik) is an asset
Bachelor’s or advanced degree in a quantitative discipline such as Engineering, Economics, Mathematics, Statistics, or Physics (essential)
Master’s level degree in a business-related field/MBA (preferred)
Success Attributes of an Equifax employee; does this describe you?
Accountability
Bravery
Curiosity
Collaboration
Think and act differently
Trust
Ownership
Decide-Execute-Ship
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
If this sounds like somewhere you want to work, don’t delay, apply today - we’re looking for you!
Primary Location:
CAN-Toronto-5700 Yonge
Function:
Function - Data and Analytics
Schedule:
Full time",https://ca.indeed.com/rc/clk?jk=b6421de2c26971be&fccid=34c446722f3cf576&vjs=3
8,"Toronto, ON",Gannett,Data Scientist,NA,"Gannett Co., Inc. (NYSE: GCI) is an innovative, digitally focused media and marketing solutions company committed to strengthening communities across our network. With an unmatched reach at the national and local level, Gannett touches the lives of nearly 140 million people monthly with our Pulitzer-Prize winning content, consumer experiences and benefits, and advertiser products and services. Gannett brands include the USA TODAY and more than 260 daily local newspaper brands, digital marketing services companies ReachLocal, WordStream, and ThriveHive and U.K. media company Newsquest. There's never been a better time to join our talented team. Visit Gannett.com/Careers to learn more about our opportunities, and visit Gannett Privacy Policy to understand our privacy policy.

Gannett is seeking a Data Scientist with a strong blend of technical and consultative skills to drive its digital advertising business. You will be part of a team that develops data-driven insights and product features in collaboration with stakeholders across Product and Engineering. This role has the option to work 100% remote or to be based out of our McLean, VA office (upon return to the office).

Responsibilities:

Find creative uses for both structured and unstructured data ranging from ad logs to content.
Maintain and enhance current models, tools and data sources.
Consult with stakeholders to assess needs, scope projects and develop data solutions to address business pain points.
Develop and deploy models to deliver increasingly valuable, repeatable and scalable analytic solutions.

The ideal candidate:

Has a passion for helping stakeholders find data solutions to business problems
Has an inquisitive mind and sound judgement when it comes to distinguishing signal from noise
Is solution oriented and can communicate with stakeholders in non-technical terms using effective data visualization, making end products engaging and user-friendly
Has demonstrated experience working autonomously to deliver timely results
Is a team player and able to build collaborative, cross-functional relationships
Has BA/BS in a quantitative field (computer science, economics, math, statistics, engineering), advanced degrees or BA/BS plus 1-2 years of relevant experience preferred

Technical skills:

Proficient in Python or R and associated machine learning packages.
Project experience with one or more of the following: regression, classification, NLP, time series, deep learning, experiment design.
Solid knowledge of SQL.
Familiarity with Git and experience in deploying projects to AWS or Google Cloud a plus.
Experience or interest in digital advertising a plus.

Gannett Co., Inc. is a proud equal opportunity employer. We are a drug free, EEO employer committed to a diverse workforce. We will consider all qualified candidates regardless of race, color, national origin, sex, age, marital status, personal appearance, sexual orientation, gender identity, family responsibilities, disability, education, political affiliation, or veteran status.",https://ca.indeed.com/rc/clk?jk=93043fc73e0cfd85&fccid=1230acb7e56c6df5&vjs=3
9,"Toronto, ON",TELUS,Data Scientist - TELUS Digital,NA,"Create awesome experiences for our customers.

Join our team

We’re a customer-driven and product-minded team within TELUS, responsible for our company’s digital evolution. We simplify the path to production so teams can focus on what matters most.

TELUS Digital’s mission is to make life easier for millions of customers – and for our team. We build smart, customer-centric and data-driven experiences for telus.com, TELUS.com/business and the My TELUS app.

Our team includes a passionate group of strategists, UX and visual designers, full stack developers, content managers, scrum masters, testers, product owners, people experience specialists, and other digital experts.

Our team members are leaders in local and global technology communities, we value and support communities such as: Tech Masters, NodeSchool, Ladies Learning Code, Women Who Code TO and many more!

Learn more about our team at telus.com/digital

Here’s the impact you’ll make and what we’ll accomplish together

My TELUS has a big impact on how our customers' experience, manage and interact with their TELUS services. We’re at the centre of all the action working to exceed the needs of our customers, stakeholders and broader digital team. As risk takers and experts in our fields, we’re a team who celebrates our failures and successes equally. Change is embraced and we love to try out new ideas. We are passionate about learning, growing and developing as individuals and as a team.


As a data scientist with TELUS Digital, you will be responsible for supporting the My TELUS insights team with various data solutions and products. These solutions will empower our business analysts with insights about our customer journeys across multiple channels and help move forward our journey of creating the best possible customer experience. You will be working with data from various online and offline experiences in order to paint a complete picture of the journey.

You will work as part of a friendly, cross-disciplinary, and agile team who helps each other tackle problems across all functions. As a custodian of customer trust, you will employ the best methodologies in development, security, accessibility and design to achieve the highest quality of service for our customers.

Here’s how
Understand business needs and apply data science techniques to address real-world problems
Analyze source data (including structured and unstructured data), cleanse data, and support the building of data pipelines
Ensure data privacy is respected
Use visualization techniques to communicate findings and explain models
Collaborate with our data scientists within Telus
Qualifications

You're the missing piece of the puzzle
Education in computer science, engineering, mathematics, or a related field
Ability to communicate technical and complex concepts in a way that is understood by non-technical audiences
Interpersonal and communication skills to enable collaboration with a range of team members with diverse skill sets and backgrounds
The ability to quickly familiarize yourself with new languages, tools, frameworks, and to stay informed on developments in ML techniques and technologies
Advanced knowledge in SQL
Dedication to ensuring your work is well documented and version controlled
Experience using Cloud infrastructure like Google Cloud Platform and Amazon Web Services
Experience with agile methodology and team-based software development workflows
G-Suite experience

Great-to-have's

Great knowledge of Adobe Analytic's
Domo dashboarding experience",https://ca.indeed.com/rc/clk?jk=b56337f9a96cd34a&fccid=4512634d9e7338a8&vjs=3
