,location,company,job_title,salary,job_description
0,"Mississauga, ON",Hatch,Data Scientist,NA,"Requisition ID: 33710
Job Category: Information Technology

With over six decades of business and technical experience in the mining, energy, and infrastructure sectors, we understand that challenges are changing rapidly in every industry. We respond quickly with solutions that are smarter, more efficient, and innovative. We draw upon our 9,000 staff with experience in over 150 countries to challenge the status quo and create positive change for our clients, our employees, and the communities we serve.

Hatch is seeking a Data Scientist for a key role in its Digital business. We are looking for a creative problem-solver that is motivated by the desire to deliver innovative, efficient and sustainable solutions with improved business outcomes.
Working in the Global Data Science Center of Excellence, the successful candidate will develop and use Machine Learning (ML) tools and data processing pipelines to solve challenges for our clients in our data-driven engagements. Under the direction of the Senior Data Scientist and/or Project Manager, he/she will work on data and business problems to drive improved business results by designing, building and partnering to implement ML models, always closely collaborating with subject matter experts.

Primary Responsibilities:
Process, cleanse, and verify the integrity of data used for analysis;
Identify, interpret and communicate meaningful insights from data sources to clients and internal interdisciplinary teams;
Identify opportunities to improve data collection and management procedures;
Test and select the most appropriate ML methods for specific applications, validate and deploy data analytics models to achieve business results;
Communicate effectively within the data science team, systems team, and customer-facing teams to ensure models and results are well understood and incorporated into their business processes.

Qualifications (Required):
Bachelor’s degree in Engineering, Computer Science, Mathematics or equivalent from an accredited University;
3-5 years of experience developing and applying ML models in industrial (preferred) and business settings,
Excellent knowledge and understanding of ML techniques and algorithms;
Experience in data cleaning/ processing;
Experience in quantitative analysis / research of large, complex data sets;
Working knowledge of Python.

Assets:
Experience and knowledge of process simulation software;
Working knowledge of cloud technologies;
Working knowledge of data visualization tools;
A postgraduate degree in mathematics, statistics, computer science, engineering or another quantitative field;

Skills:
Keenly interested in analyzing and solving challenging industrial problems;
Demonstrated ability to work both collaboratively and independently when appropriate;
Ability to build relationships and effectively influence colleagues, clients and stakeholders;
Excellent communication, interpersonal and teamwork skills.

We are committed to fostering a workforce in each of our locations that reflects the diversity of the communities in which we operate. Hatch is an Equal Opportunity Employer that considers employment applicants without regard to age, race, colour, national origin, citizenship, religion, creed, sex, sexual orientation, marital status, disability or any other protected status. If you have any special needs requirements, please let us know. We will do our utmost to accommodate, in accordance with applicable local legislation."
1,"Toronto, ON",Loopio,Data Scientist,NA,"Loopio is a workplace that unleashes learning & growth opportunities for our Loopers. We provide autonomous, challenging work that allows each employee to master their craft. We attract and retain people who are naturally curious, have grit and are eager to grow and build their careers. At Loopio, we genuinely support each other, because true success comes from working as #oneteam. We root for each other’s success and always remember to take time to celebrate, have fun, and Get Loopi!

We are looking for experienced data scientists to drive the research and development of statistical, machine learning/NLP models to power our product suite. This is a unique opportunity to join a growing team of creative and passionate individuals committed to solve real world problems with modern AI practices.

All aspects of building data science products are familiar to you: wrangling with messy or missing data, feature engineering, prototyping statistical/machine learning models, and coding up an appropriate solution that’s fit for production. You are driven by the thought of solving real-world business problems and a practical mindset.
What You'll Be Doing
Working with business stakeholders to identify opportunities where statistical analysis, machine learning, and Natural Language Processing can improve business processes
Working with product managers to translate product requirements into R&D activities
Researching, developing, and validating models to generate predictions, recommendations, alerts, and other insights
Working with engineers to collect, clean, and perform feature engineering and selection on customer data to support model R&D activities
Working with engineers on the delivery and integration of models into product
What You'll Bring to the Team
3+ years of experience in applied statistical analysis and machine learning in a software development environment, ideally using Natural Language Processing
A deep understanding of probability theory and statistics
Experience in the use of statistical analysis and machine learning tools, packages and languages such as scikit-learn, pandas and numpy
Strong scripting and engineering skills in Python and proficiency in using query languages such as SQL
Knowledge of data structures and algorithms
Experience in a high growth agile software development environment (Scrum or Kanban)
Experience with Spark and AWS is a plus
Where You'll Work
Right now, we’re all working from home, but when it’s safe to do so again, you’ll have the option of working where you work best
Do you want to work in an office most days, when public health restrictions lift? You’ll have that opportunity to hot-desk out of our beautiful Kensington Market office
Do you want to work from home most of the time? Sounds great - we’re all a Zoom call away.
You’ll collaborate with your team largely remotely. And you’ll also make in-person connections: at company events, sales kick offs, or for full-team meetings
Why You'll Love Working at Loopio
You'll have a manager who coaches you through goal setting, frequent 1-on-1s, and real-time feedback
You’ll have tons of autonomy and responsibility; we have a results-driven environment
You’ll learn more than you thought was possible; our team is obsessed with personal and professional growth
You’ll have a piece of the pie; every Loopio employee participates in our stock option plan!
You’ll participate in a health and benefits plan that kicks in on day one!
The career growth opportunities are endless at a successful, high-growth company"
2,"Waterloo, ON",McAfee,Data Scientist,NA,"Job Title:
Data Scientist

Location:
US, Texas, Plano
Role Overview:
You will work with marketing specialists to create creative solutions, design experiments using deep statistical knowledge to drive marketing insights
You'll implement data hygiene (e.g., validation) that optimizes statistical efficiency and data quality/accuracy
You'll build bespoke models, interpret analytical results, and draw business conclusions about findings • Develop quantitative solution to drive insights across end-to-end customer journey
You will work with channel partners to identify trends and opportunities
You are hands-on in machine learning techniques using large datasets to standardize business offerings
You'll convert analytical findings into customer insights that power marketing strategies and programs.
You'll discuss complex concepts and the results of the analyses in a to senior management

Company Overview
From device to cloud, McAfee provides market-leading cybersecurity solutions for both business and consumers. We help businesses orchestrate cyber environments that are truly integrated, where protection, detection, and correction of security threats happen simultaneously. For consumers, McAfee secures your devices against viruses, malware, and other threats, both at home and away. We want to continue to shape the future of cybersecurity by working together to build best in class products and solutions.
Use predictive modeling, statistics, Machine Learning, Data Mining, and other data analysis techniques to collect, explore, and extract insights from structure and unstructured data0
Develop software, algorithms and applications to apply mathematics to data, perform large-scale experimentation and build data-driven apps to translate data into applicable solutions, solve a variety of business problems and enable our strategy.
Assist business with casual inferences & observations with finding patterns , relationships in data.
You have strong understanding of internal business segment (partners) and will present to team your findings.
Typically requires expertise in relational database structures, research methods, machine learning, Cloud based technologies, Big Data technologies (i.e. Hadoop , HBase, Lucene/Solr), analytics packages (i.e. R, Mahout, Matlab, Octave, Weka), scripting languages (i.e. Python, Perl), programing languages (i.e. Java, C/C++, SQL).
You will typically have an advanced degree in Computer Science, Mathematics, Machine Learning, Operation Research, and Statistics or equivalent expertise.
Company Benefits and Perks:
We work hard to embrace diversity and inclusion and encourage everyone at McAfee to bring their authentic selves to work every day. We offer a variety of social programs, flexible work hours and family-friendly benefits to all of our employees.
Pension and Retirement Plans
Medical, Dental and Vision Coverage
Paid Time Off
Paid Parental Leave
Support for Community Involvement
We're serious about our commitment to diversity which is why McAfee prohibits discrimination based on race, color, religion, gender, national origin, age, disability, veteran status, marital status, pregnancy, gender expression or identity, sexual orientation or any other legally protected status.
Job Type:
Experienced Hire
Primary Location:
US, Texas, Plano

Additional Locations:
Canada, Waterloo"
3,"Montréal, QC",EXFO,Data Scientist,NA,"Job title: Data Scientist
Division/function: Research & Development (DF0007)
Business unit / department: Edge (BU0092)
Country: Canada
State: Montreal
City(ies): Montreal
EXFO develops smarter network test, monitoring and analytics solutions for the world’s leading telecommunications service providers, network equipment manufacturers and webscale companies—and we love what we do! With nearly 1,900 employees in more than 25 countries, EXFO is no. 1 worldwide in fiber optic test solutions and has the largest active assurance deployment. Our broad portfolio of intelligent hardware and software solutions enable our customer’s network transformations related to fiber, 5G, virtualization and big data analytics. We’re always looking for top talent to help us lead the way in a thriving industry with boundless opportunities.
By joining EXFO as Scientist, you will be responsible for applying the latest advances in machine learning to different segments of the telecommunications industry. The position is ideal for a candidate with a strong R&D learning machine profile with a passion for bringing applied research into business solutions.
What you’ll do
Apply the latest advances in machine learning and AI for telecommunications applications.
Carry out proofs of concept and prototypes integrating AI.
Work in close collaboration with the applied research group on innovations using AI.
Work in close collaboration with the R&D development teams for the industrialization of AI.
What we’re looking for
Technical skills
Experience in applying data science methods to business problems.
Experience with popular machine learning frameworks..
Experience with programming languages suitable for AI that can be put into production.
Knowledge of AI development and operationalization platforms.
Experience with MLOps principles (an asset).
Understanding of mobile telephony and 4G / 5G architectures (an asset).
Aptitudes
Passion : Passionate about the field of artificial intelligence.
Innovation : Looks proactively for new ideas and alternatives. Comfortable with long-term goals.
Depth of analysis : Studies in detail topics or problems using scientific methods.
Abstract reasoning: Analyzes complex information and works out new concepts and abstract ideas.
Adaptability : Flexible and open to new ideas. Can effectively deal with change.
Travail d’équipe : Contribue de manière proactive au travail de l'équipe.
Teamwork: Contributes proactively to the team's work.
Communication: Communicates ideas clearly and concisely orally and in written-form. Shares information freely with others. Shows good listening skills.
Academic and Professional Requirements
Pertinent experience: Demonstrated experience in environments focused on research and the application of artificial intelligence in business models. Knowledge and / or experience in the field of telecommunications, an important asset.
Language requirements: French and English (verbal and written).
Academic: Graduate studies in machine learning, computer science, statistics, mathematics, engineering or a related field.
EXFO is an equal opportunity employer.
Thanks for your interest in EXFO.
If you have questions, please write us at careers@EXFO.com
We look forward to hearing from you soon."
4,"Montréal, QC",Canadian National Railway,Data Scientist,NA,"Job Summary
The Data Scientist is responsible for conducting detailed analyses of data sets and providing advanced analytics solutions to solve business problems, while leveraging statistical, machine learning, and optimization techniques. The incumbent is part of the team overseeing CN’s ongoing transformation to move forward with Artificial Intelligence (AI) automation in virtually every aspect of its business. This transformation will have a significant impact in enabling the organization to differentiate itself from competitors and ensure sustained profitability.
Main Responsibilities
 Apply statistical and machine learning knowledge to specific business problems and data
 Develop initiatives to assist Engineering, Logistics, and Mechanical teams in a number of highly technical areas
 Use data science techniques to find data patterns, anomalies, and optimization opportunities
 Interpret, translate, and communicate analytical findings to business stakeholders
 Tackle and solve complex analytical problems using quantitative approaches
 Collaborate to implement data best practices through the Data Lab, Data Hub, and Data Lake teams
 Work in an agile environment including regular meetings, sprints, Kanban, etc.
Working Conditions
The role has standard working conditions in an office environment with a regular workweek from Monday to Friday. The role requires minimal travel (up to 5% of the time) for field visits.
Requirements
Experience
Data Specialist
 Minimum 5 years of overall work experience
o Experience in analytics, data science with a focus on driving business, engineering, and mechanical decisions
o Experience developing Machine Learning and statistical models
o Experience using Power BI, Tableau to deliver insight*
Any experience for these above would be considered as an asset
Education/Certification/Designation
 Master’s Degree or PhD in Statistics, Mathematics, Quantitative Methods, or equivalent
Competencies
 Inspires others with impactful communications and adapts to the audience through speech and writing
 Applies analytical thinking
 Innovates through problem solving
 Knows the business and stays current with industry trends to elevate expertise and work
 Demonstrates organizational abilities
 Collaborates with key internal stakeholders to enable higher productivity
 Works independently with little supervision

Technical Skills/Knowledge
Knowledge of Databricks, Structured Query Language (SQL), Python, R, and Scala
CN is an employment equity employer and we encourage all qualified candidates to apply. We thank all applicants for their interest, however, only candidates under consideration will be contacted. Please monitor your email on a regular basis, as communication is primarily made through email."
5,"Oakville, ON",Geotab,Data Scientist,NA,"Who we are:

Geotab is a global leader in IoT and connected transportation and certified “Great Place to Work.” We are a company of diverse and talented individuals who work together to help businesses grow and succeed, and increase the safety and sustainability of our communities.

Geotab is advancing security, connecting commercial vehicles to the internet and providing web-based analytics to help customers better manage their fleets. Geotab’s open platform and Marketplace, offering hundreds of third-party solution options, allows both small and large businesses to automate operations by integrating vehicle data with their other data assets. Processing billions of data points a day, Geotab leverages data analytics and machine learning to improve productivity, optimize fleets through the reduction of fuel consumption, enhance driver safety and achieve strong compliance to regulatory changes.

Our team is growing and we’re looking for people who follow their passion, think differently and want to make an impact. Join us for a fulfilling career with opportunities to innovate, great benefits, and our fun and inclusive work culture. Reach your full potential with Geotab. To see what it’s like to be a Geotabber, follow us @InsideGeotab on Instagram, Twitter or Facebook.

Who we are looking for:

We are looking for Data Scientists who can help us discover value out of our rich and large datasets. Our ideal team member will have the mathematical and statistical expertise you’d expect, but a natural curiosity and creative mind that’s not so easy to find. As you mine, interpret and clean our data, we will rely on you to ask questions, connect the dots and uncover opportunities that lie hidden within, all with the ultimate goal of realizing the data’s full potential. You will join a team of data specialists, but will “slice and dice” data using your own methods, creating new visions for the future. If you are a Data Scientist or a Data Science aspirant who knows how to extract meaning from and interpret data - we would like to hear from you!

What are the details of this position:

As a Data Scientist you will be a crucial part of producing innovative analytics from Geotab’s big data environment. Geotab’s systems process over 40 billion data records per day from over 1.5 million vehicles in 100+ countries across the globe. We believe that there is collective value in the massive amount of data arising from all of our sensors across the globe. And most importantly, we believe this data can be used to improve safety, infrastructure, and productivity for our customers. You will work with our team of data scientists and engineers who have curated our data repository and have created a series of near real-time and historical datasets categorized under Weather, Urban Infrastructure and Location Analytics. You will leverage data mining techniques, Machine Learning, Deep Learning, Neural Networks and other Artificial Intelligence and statistical analysis tools to build models and high quality prediction systems to help our customers make informed and smarter decisions. You will work closely with Data Analysts, Data Engineers, Professional Services, Data Privacy & Governance, firmware as well as other internal departments such as Software Development and Solutions Engineering to achieve these objectives.

Geotab Data Scientists share a common passion for finding simple solutions for complex problems. You do too!

Our Technology Stack :

We leverage the Google Cloud Platform (GCP) as our big-data environment. Most of our development work happens in Python, leveraging various big data and data science tools in GCP (e.g. Dataflow) as well as from the open-source community (e.g. JupyterLab).

Python Modules : numpy, scipy, theano, keras, pytorch, pandas, matplotlib, xgboost, scikit-learn, nltk, seaborn, networkx, osmnx
Big Data Tools : JupyterLab, TensorFlow, Apache Spark , Beam, Dataflow, Airflow
Google BigQuery, Kafka, Kubernetes
PostgreSQL
Duties and Tasks/Essential Functions:
Interact with Geotab’s BigData Infrastructure on Google Bigquery using Python and SQL
Process, cleanse, and verify the integrity of data used for analysis
Select features and build and optimize classifiers using machine learning techniques
Use machine learning packages like scikit-learn and Tensorflow to develop ML models, features for ML models and visualize features
Interface with product managers, data engineers and software developers to gather requirements
Own the design, development, and maintenance of ongoing metrics, reports, analysis, dashboards, etc and deliver complete analytics/reporting solutions to drive key business decisions
Use data mining, model building, and other analytical techniques to develop and maintain customer segmentation and predictive models
Make recommendations for new metrics, techniques, and strategies to improve Geotab product suite
Support a platform providing ad-hoc and automated access to large datasets
Experience/Skills Required:
Graduate or Postgraduate Degree in Computer Science, Software/Electronics/Electrical Engineering or any other related field
We welcome applicants from a range of experience levels with excellent understanding of Python and SQL
Experience with using parallelization tools like Apache Beam and Spark, and scheduling tools like Airflow is nice to have
Advanced pattern recognition and predictive modeling or Graph Data Modeling experience is a bonus
Experience with developing machine learning models and in feature engineering is a plus
Experience working with Google Compute Engine and Google Bigquery is nice to have
A keen interest to make a positive impact in the community that we live in by developing data driven smart city insights and urban analytics
Why job seekers choose Geotab:

Work from home and flex work arrangements
Baby bonus
Home office reimbursement program
Online learning and networking opportunities
Electric vehicle purchase incentive program
Competitive medical and dental benefits (full-time employees only)
Retirement savings program (full-time employees only)

Our Core Values:

At Geotab, we understand that the world is always changing and that we need to change with it. Geotab has adopted a hybrid model for working, including a flexible work from home program, with the opportunity to work in our safe, clean offices. Remote work is supported with cloud-based applications, collaboration tools and asynchronous working. The health and safety of employees are a top priority. We encourage work-life balance and keep the Geotab culture going strong with online social events, chat rooms and gatherings. Join us and help reshape the future of technology!

Geotab encourages applications from all qualified candidates. Geotab is committed to accommodating persons with disabilities throughout the interview, selection and employment process. If you require accommodation at any stage of the application process or want more information about our accommodation policies and practices, please contact us at careers@geotab.com."
6,"Kitchener, ON",Oracle,Data Scientist,NA,"Data Scientist -20000Z30


Applicants are required to read, write, and speak the following languages: English

Preferred Qualifications

Oracle NetSuite is one of the fastest growing global ERP SaaS providers serving tens of thousands of large as well as rapidly rising firms in the US, Europe, APAC and around the world. Oracle has been named a leader in Predictive Analytics and Machine Learning by Forrester Research. NetSuite has long been engaging in Machine Learning and AI research and projects. We aim to offer distinctive and relevant business intelligent features to customers based on their business in a multi-tenant environment. Applying ML at scale in multi-tenant environment is a unique and high-impact challenge that the ML/AI community only begins to tackle. We are proud of our mission, and excited about applying ML/AI technology to the challenge of making DL and other ML algorithms a game changer for small and large businesses.

This is an opportunity to participate in a team to create and expand a ML/AI program, collaborating with other Program Manager and ML/AI researchers and leaders, enabling the teams of data scientists to apply the latest ML algorithms and Cloud computing power to achieve a visible success.

Responsibilities:

Leverage big data to understand customers, identify opportunities to further elevate NetSuite’s product experience, and create compelling data stories that drive action.
Transform complex data into business insights and solutions by using latest technology in machine learning, pattern recognition, text mining, and parallel/distributed computing.
Partner with internal teams on data informed hypotheses that will drive experiment design and insights focused on causal relationships between customer data and product engagement.
Collaborate with domain experts (developers) and other data scientists on ML solutions to build appropriate algorithm for specific ML solvable problems
Familiarize with the ML data repository and become a NetSuite data expert to provide guidance to product teams in using our data service.


The Data Scientist role has work experience across the following three areas:
Exploratory Analysis: understanding ecosystems, user behaviors, and long-term trends, building models for analysis and production features, and proposing what to build in the next roadmap.
Product Leadership: influencing product teams through presentation of data-based recommendations, communicating state of business, experiment results, etc. to product teams, and promoting best practices to analytics and product teams
Data Infrastructure: working in Kubeflow and Jupyter Notebooks primarily, sometimes elasticsearch, Kibana and SQLite and automating analyses


Qualifications:
5+ years relevant experience with a proven track record of leveraging machine learning to drive significant business impact
Masters or PHD degree in Computer Science, Statistics, Mathematics, Econometrics or related field
Programming experience with Python, SQL, and etc.


Detailed Description and Job Requirements

Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse “big data” sources to generate actionable insights and solutions for client services and product enhancement.

Interacts with product and service teams to identify questions and issues for data analysis and experiments. Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources. Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product, service, and business managers.

Leading contributor individually and as a team member, providing direction and mentoring to others. Work is non-routine and very complex, involving the application of advanced technical/business skills in area of specialization. 8 years relevant work experience. BS/BA preferred.

Job: Business Operations
Location: CA-CA,Canada-Kitchener
Job Type: Regular Employee Hire
Organization: Oracle"
7,"Vancouver, BC",Softvision - North America,Data Scientist,NA,"WE ARE A TRANSFORMATIONAL PARTNER
We marry design and engineering language in ways that produce impactful and memorable experience journeys. We partner all the way to continuously improve our clients’ digital maturity. Our Studio network brings the optimal combination of skill, scale, and cost for each stage of the product development lifecycle. And to do this we need great transformational people that want to impact the projects and organizations that they work with.
We are looking for an exceptional Data Scientist to work with our cross-functional team, and join our world-class community of talented experts in Vancouver, CAN. Core to this need are expertise in:

4-5 years experience and proven track record in solving business problems through fact-based and scientific analytics
Knowledge of statistical programming language Python.
Well versed with supervised and unsupervised machine learning algorithms.
Extensive experience developing Tableau reports.
Clear understanding of logical and physical database design and data.
Strong database skills (MySQL, SQL Server) and ability to write, optimize and tune complex SQL scripts.
Excellent interpersonal skills and ability to work in a team with diverse backgrounds and share knowledge.

Ideally you will also have:

Master’s, or PHD in Statistics, Mathematics, Computer Science or another quantitative field highly desired.
An Agile mindset with experience working in Agile environment
A spirit of collaboration and transparent communication
A natural curiosity for new scripting languages , frameworks and technologies
High personal code/development standards (peer testing, unit testing, documentation, etc)

We are a thriving Community of top technology talent that is globally connected. We Engage, Make, Run and Evolve the technology that makes many brands that you know and love. So let’s take this journey together. No matter where you are on your digital career roadmap, we can help you grow and have fun doing it.
Cognizant Softvision is an Equal Opportunity Employer. No 3rd Party Agency Candidates."
8,"Montréal, QC",Canadian National Railway,"Specialist System Design, Data Scientist Machine Learning an...",NA,"The role of Specialist Data Design works with manager, expert data design and data governance to drive best practices and a practice based approach towards data design and management. The Specialist Data Design is responsible for working on collecting, storing, processing, and analyzing sets of data. The primary focus is on choosing optimal solutions to use for these purposes, then maintaining, implementing, and monitoring them. They are also responsible for integrating them with the architecture used across the company.

The Specialist System Design will work with the team during development, testing, and integration stages of the solution.

The immediate position is to work on the development and evolution of the CN Automated Train Inspection solution.

Main Responsibilities
Data Design
Create and maintain optimal data modeling and pipeline architecture
Assemble large, complex data sets that meet functional / non-functional business requirements
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Extract, transform, and load data from a wide variety of data sources
Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics
Work with stakeholders including the architecture, product management, infrastructure, data and design teams to assist with data-related technical issues and support their data infrastructure needs
Keep our data separated and secure across the data lake/warehouse to adhere to industry and regulatory requirements
Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader
Work with data and analytics experts to strive for greater functionality in our data systems
Follow standard and best practices to ensure the data design is maintainable, sustainable and properly documented with all the associated IP constructs
Follow standards and best practices to ensure reliability, safety and cybersecurity standards are imbedded in the data design and sub systems
Understand rail architecture in order to develop data models and understanding of all integrations
Work with the development team to ensure data design is fully understood and developed with high quality
Work closely with functional and technical leads to define relationships between business objects (entities) and how these objects will interact with the solution processes
Perform data source discovery through reverse engineering, data readiness assessments and analysis
Build processes supporting data transformation, data structures, metadata, dependency and workload management
Work with quality leads, management, and quality assurance to constantly monitor quality KPI’s and implement data design improvements
Perform root cause analysis to support development process
Working Conditions

The role has standard working conditions in an office environment with a regular workweek from Monday to Friday. The role requires occasional travel in North America.

Requirement
Experience
Minimum 5-10 year overall work experience
Minimum 5 years of analysis, data design and data modeling experience
Minimum 4 years of data quality related experience (with or
2+ years experience in Python libraries such as: Pandas, NumPy, SciKitLearn, MatPlotLib, Keras
Conceptual understanding of classification, object detection and segmentation
Experience using PowerAI Vision
2+ years of experience in data modelling and Python libraries for data science, application development or application support in machine learning, visual recognition or forecasting
2+ years of experience with Data architectures including Spark, Hadoop HDFS, analytical processing, NoSQL (MongoDB, Casandra, Redis, etc…) or relational SQL databases (Oracle, Postgres, MySQL, etc…)
Education/Certification/Designation
Bachelor's degree in degree in a Mathematics, Statistics, Computer Science, Computer Engineering or Software Engineering


General Skills and Competencies
Excellent verbal and written communication abilities: must effectively communicate with technical and non-technical teams
Participate in teams working in an Agile/Scrum or Waterfall process and ensure the stories/tasks are well defined and have all the information and tools to be successful
Work with the Project Manager and project stakeholders to ensure we meet project commitments
Ability to work independently on tasks and deliver with a high-level of quality
Ability to work in teams and be open to comments and feedback
Ability to learn quickly and to adapt to a fast-paced environment
Fast thinker and always seeking continuous improvement in the delivery
Fluency in English, both oral and written. Bilingual proficiency will be considered an asset
Ability to Analyze, Design and document detailed designs
Proficient in documentation of complex concepts such as impact analysis, security models, performance and capacity planning, and strategic technical decision
Technical Skills/Knowledge
OpenCV and classical methods in computer vision.
Experience using neural network architectures such as fasterrcnn, ssd, yolo and detectron.
Experience of REST. Application development delivering enterprise-class software products based on developing REST-based API's (json/yaml/OpenAPI) using python

About CN
As a leading North American transportation and logistics company, CN is a true backbone of the economy. With a team of approximately 25,000 railroaders, our focus is on moving both our company and the economy forward. We transport US$200 billion worth of goods annually for a wide range of business sectors from resource to manufactured products to consumer goods, across a 20,000-mile network spanning Canada and mid-America. CN is the only Canadian company listed in the Transportation and Transportation Infrastructure sector of the Dow Jones Sustainability World Index (DJSI). Launched in 1999, the DJSI World represents the gold standard for corporate sustainability. At CN, we work as ONE TEAM, focused on safety, sustainability and our customers, providing operational and supply chain excellence to deliver results.
CN is an employment equity employer and we encourage all qualified candidates to apply. We thank all applicants for their interest, however, only candidates under consideration will be contacted. Please monitor your email on a regular basis, as communication is primarily made through email."
9,"Quebec City, QC",Gartner,"Specialist, Data Science and Machine Learning Development",NA,"What makes Gartner Research & Advisory a GREAT fit for you? When you join the world’s leading Research & Advisory company, you’ll be part of a team that values curiosity, expert insights, bold ideas and intellectual courage, while driving partnerships with global organizations to make the right decisions on their key initiatives. Through constant learning, discovery and collaboration, you’ll not only help clients accomplish their mission-critical priorities, but also grow your career and the scope of your impact across industries. Our culture demands dedication— and rewards it with opportunity. If you’re always looking for what’s next in business and technology, Gartner is looking for you.
Interested in learning more, view and register for any of our upcoming recruiting events here!
About this role
As a part of Gartner’s TalentNeuron machine learning research and development team, you will participate in various automated unstructured data processing activities in their different stages: from data discovery/generation and feature engineering to statistical and neural network model building and prototype design as well as implementation into efficient API.
What you’ll do
Apply knowledge of statistics, machine learning, programming, and data modeling to build solutions for recognizing patterns in the real-world data, organizing information, extracting entities and discovering relations between them, leading to prototype development and product improvement.
Use an analytical approach to design, develop, and evaluate predictive models and advanced algorithms that lead to optimal value extraction from the data.
Work with engineers to translate prototypes into new products, services, and features and provide guidelines for large-scale implementation.
Extend, develop, program, and implement new algorithms.
What you’ll need
A University Degree in Computer Science, or, alternatively, a degree in Computational Linguistics, Computational Biology, Statistics, or Applied Math and 2+ years of industrial experience as Software Engineer/Developer
A master's degree + 1 year of hands-on Data Science and Machine Learning experience, or a Bachelor's Degree with 2 years of hands-on Data Science and Machine Learning experience
Ability to write production-quality object-oriented code in at least one of the modern OOP programming languages (e.g. Python, JavaScript, Java, C++, Scala, C#, Rust, Julia, Go); and ease with LinuxDeep understanding of machine learning theory and practice (feature engineering, regularization, hyperparameter tuning, ensemble methods, neural network architectures);
Expertise in data analysis (experiment design, classification, regression, unsupervised methods);
Knowledge of core computer science concepts such as data structures and algorithms, OOP, code profiling/optimization.
Detailed knowledge of at least one popular deep learning library, proven ability to implement in practice neural network architectures described in literature.
Proficiency with regular expressions and other deterministic methods for processing text as well as experience in practical NLP is a plus;
Who you are
You have a “Hacker” attitude: hunger for resolving enigmas, finding solutions to riddles and facing uncommon challenges;
Readiness to work in uncertainty regarding the resolution of a problem, the existence of means to resolve it and, sometimes, in the absence of precise objectives;
Autonomous and responsible; organized and structured in initiatives and work;
Detail-oriented and able to keep a global vision of the issues and their solutions;
What we offer
Competitive salary, generous paid time off policy, charity match program, Medical, Dental & Vision Plans, Parental Leave, Employee Assistance Program (EAP) and more!
Collaborative, team-oriented culture that embraces diversity
Professional development and unlimited growth opportunities
Job Requisition ID:48088
By submitting your information and application, you confirm that you have read and agree to the country or regional recruitment notice linked below applicable to your place of residence.
Gartner Applicant Privacy Link: https://jobs.gartner.com/applicant-privacy-policy
For efficient navigation through the application, please only use the back button within the application, not the back arrow within your browser."
