,company,job_description,job_title,job_url,location,salary
0,Geomodeling,"descriptiondata scientist noc 2172collect and document user's requirements, design and develop database, design, construct, modify, implement and test data models and database management systems, conduct research and provide advice to other informatics professionals regarding the selection application and implementation of database management tools, operate database management systems to analyze data, develop and implement data administration policy, standards and models, research and document data requirements, data collection and administration policy, and data access rules, develop policies and procedures for network access and usage and for the backup and recovery of data, conduct research and provide advice to other information systems professionals regarding the collection, availability and suitability of data, lead and co-ordinate teams of data administrators in the development and implementation of data policies, standards and models, write scripts related to stored procedures and triggerswork location information: relocation costs covered by employer, willing to relocatecomputer and technology knowledge:linux, unix, javaos, device drivers, networking software, networking hardware, networking security, extranet, intranet, internet, servers, desktop applications, enterprise applications integration (eai), file management software, security software, multimedia software, word processing software, presentation software, mail server software, communication software, 3d graphic software, image editing software, project management software, programming software, website creation and management software, web service design, business diagram software, desktop publishing software, mapping and data visualization software, database software, programming languages, data analysis software, ms office, spreadsheet, ms windowsprogramming languages: python, c++education: earned doctorate degreeexperience: 5 years or more salary: $43.96 per hour hours: 40 hours per weekterms of employment: permanent, full timelanguages: english how to apply:by email:info@geomodeling.comby mail:665 8th street s.w.calgary, abt2p 3k7 renjun wengeomodeling technology corpcalgary, ab",DATA SCIENTIST NOC 2172,https://job-openings.monster.ca/data-scientist-noc-2172-calgary-ab-ca-geomodeling/219706051,"Calgary, AB",
1,Prodigy Bank,"descriptionthis is an exciting opportunity to join our client's innovation and strategy team at the ground level! you will be part of their innovation hub located in downtown toronto where your desire for impact will only be matched by your innate ability to collaborate with other like minded individuals to come up with creative solutions to retail data science problems.in this role, you’ll have the chance to roll up your sleeves and apply data science methods and analytics to real-world business situations. the data scientist will play a key role in enhancing advanced analytics and machine learning capabilities within the organization. you will be responsible for the building, training, scoring and monitoring of machine learning models. you will work closely with various stakeholders throughout our business to understand business needs and develop solutions through machine learning or other advanced analytics/predictive modeling techniques.job requirementsms/phd or equivalent in computer science, engineering, statistics, mathematics, or related technical fieldexperience in developing machine-learning algorithms, statistical and mathematical optimization models, and simulation and visualization toolsstrong understanding of regression modeling, time series analysis, cluster analysis, machine-learning concepts such as supervised and unsupervised learning, classification, random forest, neural nets, etc.ability to identify predictive attributes of data sets and perform feature engineering to improve machine learning resultsexperience with manipulating big data sets via sql able to process, filter and present large quantities of dataexperience in one or more programming languages (e.g. python, r, scala, etc.)experience with databricks, tableau and automl tools an asset",Data Scientist,https://job-openings.monster.ca/data-scientist-toronto-on-ca-prodigy-bank/221751235,"Toronto, ON",
2,ISG Search Inc,"descriptionduration:  this contract is 6 months to start with possible extensions.  must have: bachelor's degree in a highly quantitative field (computer science, statistics, mathematics, etc.)1-2 years' experience in data analysis or graduate degree in quantitative fieldexperience with data visualization and reporting tools (tableau desktop, power bi, aws quicksight)intermediate to advanced experience with relational databases (i.e. mysql, postgresql, etc.)experience using statistical computer languages (python, r) to manipulate data and draw insights from large data setsexcellent written and verbal communications skillscreative and analytical thinker who is self-driven and capable of working in a fast-paced environmentfamiliarity with amazon web services including athena, redshift, quicksight and rds  our client…  our client is a leader in financial services and investments.  responsibilities: perform large-scale data analysis and develop effective statistical and machine learning models for improving cybersecurity at the client.provide planning teams with key research and insights that help steer quality digital strategiesprocess, cleanse, and verify the integrity of data used for analysiseffectively deliver analytical presentations for various audiencesdevelop complex sql queries across multiple data sources to support analysisaccurately prepare and promptly complete all required supporting documentation for assigned projects/tasks (i.e., reports, change requests, presentations, correspondence/communications, tables, charts, files, etc.)prioritize and manage your own workload independently in order to deliver quality results and meet pre-determined timelines",Data Scientist,https://job-openings.monster.ca/data-scientist-toronto-on-ca-isg-search-inc/221627670,"Toronto, ON",
3,"Modis, Inc.","descriptiondata analyst, security analytics
duration: 3 months

location: remote (toronto or waterloo areas)
our client is seeking a data analyst that will assist them in discovering insights hidden in vast amounts of network and security log data, help improve monitoring and control of advanced cyber threats, and implement user and behaviour analytics (ueba) solutions.
your primary focus will be in applying data mining techniques, doing statistical analysis, and developing actionable reports with data visualizations, all integrated with their existing products on aws.
responsibilities:
perform large-scale data analysis and developeffective statistical and machine learning models for improving cybersecurity within the organization
provide planning teams with key research and insights that help steer quality digital strategies
process, cleanse, and verify the integrity of data used for analysis
effectively deliver analytical presentations for various audiences
develop complex sql queries across multiple data sources to support analysis
accurately prepare and promptly complete all required supporting documentation for assigned projects/tasks (i.e., reports ,change requests, presentations, correspondence/communications, tables, charts, files, etc.)
prioritize and manage your own work load independently in order to deliver quality results and meet pre-determined timelines
required skills:
bachelor’s degree in a highly quantitative field (computer science, statistics, mathematics, etc.)
1-2 years’ experience in data analysis or graduate degree in quantitative field
experience with data visualization and reporting tools (tableau desktop, power bi, aws quicksight)
intermediate to advanced experience with relational databases (i.e. mysql, postgresql, etc.)
experience using statistical computer languages (python ,r) to manipulate data and draw insights from large data sets
excellent written and verbal communications skills
creative and analytical thinker who is self-driven and capable of working in a fast-paced environment
familiarity with amazon web services including athena, redshift, quicksight and rds
ability to clean and dive into messy data to find insights
knowledge of machine learning or statistical libraries: sparkml, scikitlearn, caret, mlr, mllib","Intermediate Data Scientist, Security Analytics",https://job-openings.monster.ca/intermediate-data-scientist-security-analytics-toronto-on-ca-modis-inc/221581393,"Toronto, ON",
4,T.E.S. Employment Solution,"descriptionanalytics developerour client has an immediate need for a full time senior analytics consultant (dev ops/advanced analytics/data science)location: regina, sk - however the role will be 100% remote while covid-19 travel/social distancing restrictions are in place. once those restrictions are lifted, onsite requirements will be reassessed at that time.term:  nov 2020 to nov 2021 with possible extensionkey skills/requirements:• knowledge of statistical approaches including machine learning, artificial intelligence and predictive modelling techniques.• expertise in python and sql and sas.• experience with technologies and platforms such as git, jenkins, docker/kubernetes, angular, aws.• critical thinker with natural intellectual curiosity and strong analytical skills• ability to clearly communicate advanced technical topics with non-technical audiences and to work effectively with support teams, user communities and application development groups.• familiarity with agile software development practices, preferably in a financial institution context.• strong organizational skills; ability to prioritize, solve problems creatively, and work under tight deadlines• knowledge and respect for security, privacy, ethics and need to know principles• a degree in computer science or software engineering and at least eight years of technical experience (or equivalent combination of education and experience); a financial background is an asset• strong development background• a passion for delivering transformational, production-grade analytics products.what you’ll do:• utilize your software development skills combined with your statistics and modelling abilities to transform business needs into meaningful insights and analytics solutions.• mentor and provide knowledge of best-practices to d",Analytics Developers (Dev Ops/Advanced Analytics/Data Science),https://job-openings.monster.ca/analytics-developers-dev-ops-advanced-analytics-data-science-regina-sk-ca-t-e-s-employment-solution/221886957,"REGINA, SK",
5,050 Best Buy Canada Ltd.,"descriptionour technology team has been on an incredible journey the last few years by creating first-to-market initiatives for our customers, adding the latest development languages to our tech stack and establishing best buy canada as the best omni-channel experience within the retail industry.we believe empowered people and teams make smarter, faster, and more creative decisions, which is why we operate in a truly agile environment where the distance between any one person and senior leadership is microscopic. here, you’ll work on something big, small, or super cool and before you can blink 100,000 people will see it. you’ll create fast, learn fast, and develop fast! oh, and sometimes you’ll fail fast too. that’s ok. (honestly.) it’s all part of the process.the cloud data analytics engineer is a creative thinker who is skilled and well versed in power apps, power bi, power automate, power virtual agents and azure machine learning studio. this individual enjoys challenges and likes solving complex data problems and will focus on transforming business requirements into functionally using microsoft power platform. you will directly report to the manager data analytics and you will work closely with manager data platform products, manager (web analytics – testing platforms) and digital intelligence team as they provide guidance and vision so you can develop, construct and maintain our enterprise data catalogs and enterprise information models. you will work with large scale data processing system that collects data from a variety of structured and unstructured data sources, stores data in a cloud scale-out data lake/cloud data warehouse and prepare the data using elt techniques in preparation for the data science data exploration and analytic modeling.as a cloud data analytics engineer you will…harness, model and transform data (structured, unstructured) from several sources that empowers users to analyze data in different ways leading to better and faster decision making.process business requests and bring business meaning to data from various data sources, aggregating and synthesizing data using sql and other bi tools, communicating the results in an effective and efficient manner.build self-service pipelines and data flows for the business using the microsoft power platform.extract relevant data from a centralized system and convert data into information and knowledge for the business to enable self-serve data analysiscreate information models and define semantic layer on data for various business functions and stakeholders.we hope you are passionate about…data analysis - you creatively navigate through a complex network of data structures, pull relevant data, apply ml/ai and extract valuable insights.listening and communication – you speak to the business, can synthesize complex analyses and communicate in a simple manner.relationship building - you are a communicator, able to influence, gain buy-in and provide guidance to key stakeholders.the experience we need…5+ years of experience with microsoft power platform (power bi, power apps, power automate, power agents).experience in designing information semantic models using taxonomy and ontology concepts.experience with microservices design.bonus points…familiarity with agile/scrum methodologies.experience designing and developing data applications for a retail environment.bachelor’s degree or diploma in computer/data/information science or related discipline/experience.",Cloud Data Analytics Engineer,https://job-openings.monster.ca/cloud-data-analytics-engineer-vancouver-bc-ca-050-best-buy-canada-ltd/222160156,"Vancouver, BC",
6,VTRAC Consulting Corporation,"descriptionvtrac consulting corporation“intelligent resources” thank you for applying to vtrac opportunities. please e-mail your resume as a ms-word document in confidence subject: senior java developer, position number: 20-06667 attention: moes@vtrac.com or call: 416-366-2600 ext. 228 position no.:                        20-06667title:                                       senior java developertype:                                      contract (6 months)no. of positions:                 1location:                               gta organization: join one of the world’s leading providers of software solutions and services, with operations, clients and markets all over the world. a vibrant community of tech-enthusiasts that utilizes cutting edge technology, offering ample opportunity for career development and growth. our people are our most important resource. we encourage entrepreneurship and initiative and recognize and reward achievements. we embrace and foster an environment that builds on the unique talents that come from a variety of people and perspectives. responsibilities & deliverables:design, develop, maintain and document data pipelines (cleansing, blending, migration, transformation), run books, and data storage systemsdesign, develop, maintain and document data models based on requirementsassist with the maintenance of existing models, data systems and platformsgather and analyze requirements, developing data processes and applications that meet our business needschallenge the status quo and identify new opportunities for data acquisition and transformationignite positive change by assisting team members and line of business teams with the utilization of new data assetscollaborate with members of the data engineering team to support internal clients such as data scientists, visualization specialists, various line of business teams with their various data needscollaborate with product manager and product owner teams review and refine functional and non functional requirementscollaborate with platform r&d teams to ensure smooth and reliable integrationdrive innovation by keeping current on relevant data trends via researching, presenting, and accurately articulating the benefits and goals of data architecture related technologies, such as big data, hadoop, nosql, cloudcollaborate between highly distributed data engineering team's members as well as project management, development and architecture teams requirements:university degree in a technical field such as applied statistics, mathematics and/or computer science, software engineering, etc. or equivalentfamiliarity with java j2ee, java spring boot, quarkusstrong knowledge of java libraries and frameworks, apache camelsolid understanding of containerization and cloud first technologies, as well as dockers, kubernetestdd, bddunderstanding of object oriented and functional programming paradigms and patternsexperience working with and analyzing structured, semi-structured, and unstructured datasetsknowledge of data modelling approaches and best practicessolid understanding of relational databasesfamiliarity with the cloud platforms such as microsoft azure, aws, gcpexperience with source code version control systems such github, tfs, bitbucketfamiliarity with scripting languages like powershell, bash (one or more)understanding of agile project approaches and methodologiesexperience with azure devops ci/cd - release, deployment pipelinesexperience with open apis 2.0 / 3.0, swagger  we thank all candidates in advance. only selected candidates for interviews will be contacted. for other exciting opportunities, please visit us at www.vtrac.com. vtrac is an equal opportunity employer. toronto                          .                            new york                         .                          houston                    .                              palo alto",Senior Java Developer,https://job-openings.monster.ca/senior-java-developer-toronto-on-ca-vtrac-consulting-corporation/222229174,"TORONTO, ON",
7,Ivanhoé Cambridge Inc,"descriptionivanhoé cambridge develops and invests in high-quality real estate properties, projects and companies that are shaping the urban fabric in dynamic cities around the world. it does so responsibly, with a view to generate long-term performance. ivanhoé cambridge is committed to creating living spaces that foster the well-being of people and communities, while reducing its environmental footprint.ivanhoé cambridge invests internationally alongside strategic partners and major real estate funds that are leaders in their markets. through subsidiaries and partnerships, the company holds interests in more than 1,000 buildings, primarily in the industrial and logistics, office, residential and retail sectors. ivanhoé cambridge held close to c$64 billion in real estate assets as at december 31, 2019 and is a real estate subsidiary of the caisse de dépôt et placement du québec (cdpq.com), one of canada's leading institutional fund managers. for more information:  ivanhoecambridge.com.department : information technologyposition type : salariedspecific accountabilitiesthe incumbent is responsible for developing data management and business intelligence solutions. he or she must have a detailed knowledge of the enterprise data management platform and must understand client expectations, analyze needs and impacts, and translate specifications into concrete results. the incumbent also recommends an implementation strategy, ensures the validity of selected solutions and oversees rollout.the incumbent must be able to identify opportunities for improvement in system features and provide recommendations related to client needs and the company’s technological priorities. he or she handles both projects and change requests, working with various it teams and the client.specific duties include the following:work in collaboration with the solution designer and dm analyst to develop enterprise data management and business intelligence solutions in line with set budgets and delivery schedules. support them in their daily operations;act as a subject matter expert to guide business units in self-service mode;serve as a dedicated point of contact and lead for:implementing and monitoring data visualization methodologies and best practices;overseeing the strategy for developing, deploying and organizing workspaces and power bi applications delivered by the team;guiding, reviewing and validating the work of other team members;organizing and developing content for the power bi training offered to business units;develop data exploration and dashboard solutions with power bi in accordance with data visualization and storytelling best practices;generate paginated reports for the business units using microsoft ssrs or power bi report builder;develop analytical data models using power bi;identify and recommend opportunities for using artificial intelligence in analytical solutions;create data marts in transact-sql;help advance the expertise centre by keeping abreast of new developments and concepts on platforms such as power bi and by regularly sharing this knowledge;contribute to the development of the data warehouse;contribute to solution architecture and detailed architecture designs;identify and recommend opportunities for system improvement;participate in troubleshooting and problem-solving; propose solutions, action plans and evaluate alternative solutions;act as an analyst as needed.key requirementsbachelor’s degree in it or a relevant combination of education and experience;minimum eight years of relevant experience in developing business intelligence solutionsminimum five years of experience as a bi developer with an excellent command of bi and data integration solutions:in-depth knowledge of the power bi platform:data sources and preparation (power query and m scripting);dax modelling and metrics;visualization reports;opportunities for collaboration through the power bi platform;tools for preparing self-service data (dataflows, azure data lake storage gen2);advantages of power bi premium;proficiency in developing paginated reports in microsoft ssrs or report builder;skill with microsoft t-sql development;thorough knowledge of data mart modelling;familiarity with documentation, use cases, data dictionaries and user interfaces;experience using, integrating and developing the microsoft power platform (power automate, power bi and power apps) is preferred;experience developing enterprise data warehouse solutions;knowledge of microsoft sql 2019, an asset;experience developing solutions for data science with r, python, matlab or sas (an asset);knowledge of real estate management, an asset;thorough knowledge of industry best practices, especially those associated with modelling standards and data standardization;self-motivated team player who stays up to date on news and trends in technology and has a strong collaborative mindset, the ability to analyze and process information, excellent attention to detail and a methodical approach;excellent interpersonal and oral/written communication skills;flexibility and versatility in performing assigned duties;ability to set priorities and work in a fast-paced environment;solid experience in an environment focused on teamwork and collaboration;tolerance for stress;fluency in written and spoken french and english.if you are interested in this challenge, please submit your resume.you have everything to gain!when you join the ivanhoé cambridge team, you are eligible for employment benefits and a pension plan that are among the best in the industry. our many health and wellness programs encourage you to balance your work and personal lives and fulfil your desire for social involvement, while maintaining a healthy lifestyle. at ivanhoé cambridge, you will have many opportunities to develop your skills and thrive professionally, in canada or elsewhere in the world. our initiatives aimed at creating an exceptional working environment that inspires our employees to give the best of themselves elevated ivanhoé cambridge into the ranks of 100 top employers in canada.","Developer, Business Intelligence",https://job-openings.monster.ca/developer-business-intelligence-montréal-qc-ca-ivanhoé-cambridge-inc/221230575,"Montréal, QC",
8,Eagle Professional Resources,"descriptioneagle is currently seeking an application developer for a one (1) year contract opportunity, scheduled to begin in december.key responsibilitiesthe successful candidate will be responsible for: the design and execution of front-end and back-end development. this involves designing and implementing overall architecture of the application; leading the design and execution of disruptive products with emphasis on data science and data engineering using the most advanced cloud technologies; gathering requirements and implements overall architecture of both frond-end and back-end; collaborating with internal stakeholders, development team, and product owner to plan, develop, build, and launch the product; acting as a leader for technology roles in the product team; mentoring and coaching members of the team in sharpening their skills; providing day-to-day leadership of delivery of complex it services for the product team in leading and coordinating with the technology members of the team (i.e. developers, engineers); bringing deep functional expertise to provide guidance and feedback on work of individual developers and engineers to ensure large-scale business impact to the digital products being built; leading the design and implementation of the architecture of the application; working closely with the digital team to implement a robust set of services and apis to power the application and optimize the apps for maximum speed and scalability; spearheading development of reusable code and libraries for future use; collaborating with the digital team and business users; and, leading integration of front-end and back-end aspects of the application.skills and qualificationsthe qualified candidate must have: a bachelor’s or master’s degree in information technology, computer science, or a related quantitative discipline; three plus (3+) years of team leadership experience; eight plus (8+) years of full stack experience and three plus (3+) years of data engineering or data science experience; significant web and cloud development experience (microsoft / ms azure stack); understanding of data architecture and platform as a service (paas); familiarity with data migration, transformation, and scripting; experience in management of hosting environment, including database administration and scaling an application to support load changes; experience implementing automated testing platforms and unit tests; proficiency in source control tools and familiar with development aiding tools; and, the ability to be an organized self-starter who is self-motivated.don’t miss out on this opportunity, apply online today!eagle is an equal opportunity employer and will provide accommodations during the recruitment process upon request. we thank all applicants for their interest; however, only candidates under consideration will be contacted. please note that your application does not signify the beginning of employment with eagle and that employment with eagle will only commence when placed on an assignment as a temporary employee of eagle.job#68718",Application Developer,https://job-openings.monster.ca/application-developer-calgary-ab-ca-eagle-professional-resources/222210697,"Calgary, AB",
9,TalentBurst Inc,"description  job title: full stack developer  location: toronto, on canada.  duration:  6+ months contract (potential to extend)   job description:  responsibilities:    perform etl activities (extract, transform, load) such as data cleansing, manipulation, and integration to support process data warehouse project activities   collaborate with data science manager to support day-to-day data operations for maintaining legacy process data systems and applications.   support implementation of version control system for ongoing code maintenance   support the front-end implementation and maintenance of process control web based dashboards and monitoring tools to track raw materials, in-house process tests and final product release criteria.   develop and upgrade graphical user interfaces and scripts for data analysis and visualization, and integrate codes with language-specific frameworks and environments.   provide technical support and software debugging to all users.    technical qualifications:   strong understanding of relational databases and experience in writing sql stored procedures, functions and views   experience and usage of business intelligence like etl, data warehousing and reporting for visualization   previous programming experience in python or r and matlab is required, including ability to maintain existing programs and deploy applications written in these languages, and usage of python libraries such as pandas and numpy   experience with javascript and web frameworks such as django, css, html is required   experience in sas jmp and jmp scripting language (jsl) is an asset   proficiency with ms office applications (e.g. access, excel, outlook, powerpoint, and word) is an asset    #li-fresh",Canada-ABAP Developer IV (IT),https://job-openings.monster.ca/canada-abap-developer-iv-it-toronto-on-ca-talentburst-inc/222209963,"Toronto, ON",
